[2025-07-15 21:00:19 | ThreadId: 24 | INF] Request starting HTTP/1.1 OPTIONS http://localhost:5138/api/account/login - null null
[2025-07-15 21:00:19 | ThreadId: 24 | DBG] OPTIONS requests are not supported
[2025-07-15 21:00:19 | ThreadId: 24 | DBG] 1 candidate(s) found for the request path '/api/account/login'
[2025-07-15 21:00:19 | ThreadId: 24 | DBG] Request matched endpoint '405 HTTP Method Not Supported'
[2025-07-15 21:00:19 | ThreadId: 24 | DBG] The request has an origin header: 'https://127.0.0.1:61392'.
[2025-07-15 21:00:19 | ThreadId: 24 | INF] CORS policy execution successful.
[2025-07-15 21:00:19 | ThreadId: 24 | DBG] The request is a preflight request.
[2025-07-15 21:00:19 | ThreadId: 24 | DBG] Connection id "0HNE3JS4OBEA6" completed keep alive response.
[2025-07-15 21:00:19 | ThreadId: 24 | INF] Request finished HTTP/1.1 OPTIONS http://localhost:5138/api/account/login - 204 null null 16.7676ms
[2025-07-15 21:00:19 | ThreadId: 21 | INF] Request starting HTTP/1.1 POST http://localhost:5138/api/account/login - application/json 47
[2025-07-15 21:00:19 | ThreadId: 21 | DBG] POST requests are not supported
[2025-07-15 21:00:19 | ThreadId: 21 | DBG] 1 candidate(s) found for the request path '/api/account/login'
[2025-07-15 21:00:19 | ThreadId: 21 | DBG] Endpoint 'myapp_customerwebapp_azure.Server.Controllers.AccountController.Login (myapp-customerwebapp-azure.Server)' with route pattern 'api/Account/login' is valid for the request path '/api/account/login'
[2025-07-15 21:00:19 | ThreadId: 21 | DBG] Request matched endpoint 'myapp_customerwebapp_azure.Server.Controllers.AccountController.Login (myapp-customerwebapp-azure.Server)'
[2025-07-15 21:00:19 | ThreadId: 21 | DBG] The request has an origin header: 'https://127.0.0.1:61392'.
[2025-07-15 21:00:19 | ThreadId: 21 | INF] CORS policy execution successful.
[2025-07-15 21:00:19 | ThreadId: 21 | DBG] AuthenticationScheme: Bearer was not authenticated.
[2025-07-15 21:00:19 | ThreadId: 21 | INF] Executing endpoint 'myapp_customerwebapp_azure.Server.Controllers.AccountController.Login (myapp-customerwebapp-azure.Server)'
